window_idx_global,series_id,series_name,start_idx,state_id,recon_mae
358,0,clean_serie1,10740,0,0.05707273
359,0,clean_serie1,10770,0,0.04347499
360,0,clean_serie1,10800,0,0.043860186
361,0,clean_serie1,10830,0,0.04400194
362,0,clean_serie1,10860,0,0.043451946
363,0,clean_serie1,10890,0,0.042983305
364,0,clean_serie1,10920,0,0.044187296
365,0,clean_serie1,10950,0,0.045077786
366,0,clean_serie1,10980,0,0.044641547
367,0,clean_serie1,11010,0,0.045088995
368,0,clean_serie1,11040,0,0.045245837
369,0,clean_serie1,11070,0,0.043512426
370,0,clean_serie1,11100,0,0.04225152
371,0,clean_serie1,11130,0,0.042903874
372,0,clean_serie1,11160,0,0.042654548
373,0,clean_serie1,11190,0,0.042588193
374,0,clean_serie1,11220,0,0.043328762
375,0,clean_serie1,11250,0,0.040393464
376,0,clean_serie1,11280,0,0.040711526
377,0,clean_serie1,11310,0,0.041363727
378,0,clean_serie1,11340,0,0.042110007
379,0,clean_serie1,11370,0,0.045030136
380,0,clean_serie1,11400,0,0.044630695
381,0,clean_serie1,11430,0,0.043539904
382,0,clean_serie1,11460,0,0.04246414
383,0,clean_serie1,11490,0,0.043428954
384,0,clean_serie1,11520,0,0.04518325
385,0,clean_serie1,11550,0,0.048404444
386,0,clean_serie1,11580,0,0.06666315
387,0,clean_serie1,11610,0,0.09376824
388,0,clean_serie1,11640,1,0.11062127
389,0,clean_serie1,11670,1,0.11944101
390,0,clean_serie1,11700,1,0.10975217
391,0,clean_serie1,11730,1,0.08963316
392,0,clean_serie1,11760,1,0.07013813
393,0,clean_serie1,11790,0,0.060346216
394,0,clean_serie1,11820,0,0.054551646
395,0,clean_serie1,11850,0,0.057694957
396,0,clean_serie1,11880,0,0.08045529
397,0,clean_serie1,11910,1,0.09257492
398,0,clean_serie1,11940,1,0.10303537
399,0,clean_serie1,11970,1,0.10505334
400,0,clean_serie1,12000,1,0.08973041
401,0,clean_serie1,12030,1,0.08233443
402,0,clean_serie1,12060,0,0.070511624
403,0,clean_serie1,12090,0,0.057429586
404,0,clean_serie1,12120,0,0.047234215
405,0,clean_serie1,12150,0,0.043146968
406,0,clean_serie1,12180,0,0.048017874
407,0,clean_serie1,12210,0,0.0632669
408,0,clean_serie1,12240,0,0.07734687
409,0,clean_serie1,12270,1,0.082318164
410,0,clean_serie1,12300,1,0.07706401
411,0,clean_serie1,12330,0,0.06367494
412,0,clean_serie1,12360,0,0.052235365
413,0,clean_serie1,12390,0,0.05016749
414,0,clean_serie1,12420,0,0.047544364
415,0,clean_serie1,12450,0,0.045905817
416,0,clean_serie1,12480,0,0.046296336
417,0,clean_serie1,12510,0,0.047324132
418,0,clean_serie1,12540,0,0.046797544
419,0,clean_serie1,12570,0,0.04538115
420,0,clean_serie1,12600,0,0.04260076
421,0,clean_serie1,12630,0,0.040651817
422,0,clean_serie1,12660,0,0.040879596
423,0,clean_serie1,12690,0,0.041466948
424,0,clean_serie1,12720,0,0.04122241
425,0,clean_serie1,12750,0,0.041578326
426,0,clean_serie1,12780,0,0.041060153
427,0,clean_serie1,12810,0,0.04252644
428,0,clean_serie1,12840,0,0.044879783
429,0,clean_serie1,12870,0,0.046985075
430,0,clean_serie1,12900,0,0.0508064
431,0,clean_serie1,12930,0,0.0661976
432,0,clean_serie1,12960,0,0.08577254
433,0,clean_serie1,12990,1,0.114799805
434,0,clean_serie1,13020,1,0.15459213
435,0,clean_serie1,13050,1,0.1794192
436,0,clean_serie1,13080,1,0.17225704
437,0,clean_serie1,13110,1,0.15990028
438,0,clean_serie1,13140,1,0.13709633
439,0,clean_serie1,13170,1,0.12191916
440,0,clean_serie1,13200,1,0.13741434
441,0,clean_serie1,13230,1,0.13930944
442,0,clean_serie1,13260,1,0.13153544
443,0,clean_serie1,13290,1,0.13099693
444,0,clean_serie1,13320,1,0.122065075
445,0,clean_serie1,13350,1,0.10339646
446,0,clean_serie1,13380,1,0.091349736
447,0,clean_serie1,13410,1,0.06850538
448,0,clean_serie1,13440,0,0.060880803
449,0,clean_serie1,13470,1,0.09209547
450,0,clean_serie1,13500,1,0.16386935
451,0,clean_serie1,13530,1,0.21885397
452,0,clean_serie1,13560,1,0.25543994
453,0,clean_serie1,13590,1,0.24428533
454,0,clean_serie1,13620,1,0.20293711
455,0,clean_serie1,13650,1,0.1879402
456,0,clean_serie1,13680,1,0.15890472
457,0,clean_serie1,13710,1,0.14591649
458,0,clean_serie1,13740,1,0.1307698
459,0,clean_serie1,13770,1,0.09330564
460,0,clean_serie1,13800,1,0.06432024
461,0,clean_serie1,13830,0,0.053058077
462,0,clean_serie1,13860,0,0.049213078
463,0,clean_serie1,13890,0,0.04521922
464,0,clean_serie1,13920,0,0.05998991
465,0,clean_serie1,13950,0,0.0784991
466,0,clean_serie1,13980,1,0.09683698
467,0,clean_serie1,14010,1,0.109510705
468,0,clean_serie1,14040,1,0.10844996
469,0,clean_serie1,14070,1,0.09918154
470,0,clean_serie1,14100,1,0.08520786
471,0,clean_serie1,14130,1,0.07296743
472,0,clean_serie1,14160,1,0.064299546
473,0,clean_serie1,14190,0,0.059832305
474,0,clean_serie1,14220,0,0.051996943
475,0,clean_serie1,14250,0,0.048205882
476,0,clean_serie1,14280,0,0.042804766
477,0,clean_serie1,14310,0,0.039287817
478,0,clean_serie1,14340,0,0.039269798
479,0,clean_serie1,14370,0,0.040485237
480,0,clean_serie1,14400,0,0.041966446
481,0,clean_serie1,14430,0,0.042819794
482,0,clean_serie1,14460,0,0.043659553
483,0,clean_serie1,14490,0,0.04120885
484,0,clean_serie1,14520,0,0.040585216
485,0,clean_serie1,14550,0,0.040275715
486,0,clean_serie1,14580,0,0.038963865
487,0,clean_serie1,14610,0,0.040812023
488,0,clean_serie1,14640,0,0.041776072
489,0,clean_serie1,14670,0,0.041986324
490,0,clean_serie1,14700,0,0.043302823
491,0,clean_serie1,14730,0,0.043662246
492,0,clean_serie1,14760,0,0.044459548
493,0,clean_serie1,14790,0,0.046395924
494,0,clean_serie1,14820,0,0.046811596
495,0,clean_serie1,14850,0,0.04793812
496,0,clean_serie1,14880,0,0.04650442
497,0,clean_serie1,14910,0,0.043637764
498,0,clean_serie1,14940,0,0.042970385
499,0,clean_serie1,14970,0,0.04217605
500,0,clean_serie1,15000,0,0.061232332
501,0,clean_serie1,15030,0,0.09543939
502,0,clean_serie1,15060,1,0.15150665
503,0,clean_serie1,15090,1,0.18090332
504,0,clean_serie1,15120,1,0.17405553
505,0,clean_serie1,15150,1,0.1414294
506,0,clean_serie1,15180,1,0.09862533
507,0,clean_serie1,15210,1,0.08384502
508,0,clean_serie1,15240,1,0.08582437
509,0,clean_serie1,15270,1,0.08443988
510,0,clean_serie1,15300,0,0.0723763
511,0,clean_serie1,15330,0,0.0600007
512,0,clean_serie1,15360,0,0.064267896
513,0,clean_serie1,15390,0,0.08912947
514,0,clean_serie1,15420,1,0.1003954
515,0,clean_serie1,15450,1,0.10264249
516,0,clean_serie1,15480,1,0.11138476
517,0,clean_serie1,15510,1,0.11865681
518,0,clean_serie1,15540,1,0.13354933
519,0,clean_serie1,15570,1,0.13622184
520,0,clean_serie1,15600,1,0.11486196
521,0,clean_serie1,15630,1,0.08289883
522,0,clean_serie1,15660,1,0.060343716
523,0,clean_serie1,15690,1,0.055700835
524,0,clean_serie1,15720,1,0.060323868
525,0,clean_serie1,15750,1,0.06551493
526,0,clean_serie1,15780,1,0.06719882
527,0,clean_serie1,15810,1,0.07199332
528,0,clean_serie1,15840,1,0.07493466
529,0,clean_serie1,15870,1,0.08673375
530,0,clean_serie1,15900,1,0.102181464
531,0,clean_serie1,15930,1,0.098039314
532,0,clean_serie1,15960,1,0.08573373
533,0,clean_serie1,15990,0,0.064724654
534,0,clean_serie1,16020,0,0.04393239
535,0,clean_serie1,16050,0,0.038179886
536,0,clean_serie1,16080,0,0.039763052
537,0,clean_serie1,16110,0,0.040149994
538,0,clean_serie1,16140,0,0.04136656
539,0,clean_serie1,16170,0,0.040721253
540,0,clean_serie1,16200,0,0.03963628
541,0,clean_serie1,16230,0,0.0399337
542,0,clean_serie1,16260,0,0.040168427
543,0,clean_serie1,16290,0,0.04120968
544,0,clean_serie1,16320,0,0.044178784
545,0,clean_serie1,16350,0,0.045233034
546,0,clean_serie1,16380,0,0.04688819
547,0,clean_serie1,16410,0,0.044834606
548,0,clean_serie1,16440,0,0.043857764
549,0,clean_serie1,16470,0,0.04453678
550,0,clean_serie1,16500,0,0.044657797
551,0,clean_serie1,16530,0,0.04360187
552,0,clean_serie1,16560,0,0.048277043
553,0,clean_serie1,16590,0,0.06487764
554,0,clean_serie1,16620,0,0.08989863
555,0,clean_serie1,16650,1,0.12883963
556,0,clean_serie1,16680,1,0.19331235
557,0,clean_serie1,16710,1,0.21726517
558,0,clean_serie1,16740,1,0.21490435
559,0,clean_serie1,16770,1,0.19798185
560,0,clean_serie1,16800,1,0.1664664
561,0,clean_serie1,16830,1,0.15918343
562,0,clean_serie1,16860,1,0.14235494
563,0,clean_serie1,16890,1,0.12561873
564,0,clean_serie1,16920,1,0.09494844
565,0,clean_serie1,16950,1,0.08174506
566,0,clean_serie1,16980,1,0.10335914
567,0,clean_serie1,17010,1,0.11989214
568,0,clean_serie1,17040,1,0.1395554
569,0,clean_serie1,17070,1,0.14098237
570,0,clean_serie1,17100,1,0.13074921
571,0,clean_serie1,17130,1,0.12526959
572,0,clean_serie1,17160,1,0.12472419
573,0,clean_serie1,17190,1,0.17116806
574,0,clean_serie1,17220,1,0.26627776
575,0,clean_serie1,17250,1,0.3363308
576,0,clean_serie1,17280,1,0.33490503
577,0,clean_serie1,17310,1,0.27984783
578,0,clean_serie1,17340,1,0.16866976
579,0,clean_serie1,17370,1,0.07365531
580,0,clean_serie1,17400,0,0.050059553
581,0,clean_serie1,17430,0,0.04393628
582,0,clean_serie1,17460,0,0.04567133
583,0,clean_serie1,17490,0,0.045018215
584,0,clean_serie1,17520,0,0.046203993
585,0,clean_serie1,17550,0,0.05082267
586,0,clean_serie1,17580,0,0.05254918
587,0,clean_serie1,17610,0,0.05720655
588,0,clean_serie1,17640,0,0.0670614
589,0,clean_serie1,17670,1,0.076378845
590,0,clean_serie1,17700,1,0.09718352
591,0,clean_serie1,17730,1,0.10646278
592,0,clean_serie1,17760,1,0.10099811
593,0,clean_serie1,17790,1,0.08757905
594,0,clean_serie1,17820,1,0.06589923
595,0,clean_serie1,17850,0,0.054145172
596,0,clean_serie1,17880,0,0.048159916
597,0,clean_serie1,17910,0,0.043833725
598,0,clean_serie1,17940,0,0.041124433
599,0,clean_serie1,17970,0,0.038563415
